,nu-sum,,nu-e,,,nu=mu,,,nu-tau,,,,
log Energy (eV),Exposure (cm^2 sr sec),Acceptance (km^2 sr),log Energy (eV),Exposure (cm^2 sr sec),Acceptance (km^2 sr),log Energy (eV),Exposure (cm^2 sr sec),Acceptance (km^2 sr),log Energy (eV),Exposure (cm^2 sr sec),Acceptance (km^2 sr),,
13.10094296,16.70353861,0.024106495,13.13705905,15.75697501,0.00272628,12.05827597,16.99143757,0.046777072,12.00445299,17.10492147,0.060745894,,
13.0514454,16.73809288,0.026102875,13.08742504,15.78499173,0.002907952,12.01271778,17.01805872,0.049734091,11.95909816,17.13533491,0.065152392,,
13.00213486,16.77271864,0.028269238,13.03797856,15.81514336,0.003117014,11.96733172,17.04741861,0.05321255,11.91391468,17.16625509,0.069960121,,
12.95301061,16.80830247,0.030683008,12.98871889,15.84284572,0.003322318,11.92211714,17.07592854,0.05682298,11.86890191,17.19632411,0.074975535,,
12.90407197,16.84440597,0.033342751,12.93964533,15.87185219,0.003551793,11.87707338,17.09411526,0.059253052,11.82405921,17.22735435,0.080528537,,
12.85531822,16.88014189,0.036202399,12.89075718,15.90049245,0.003793918,11.83219981,17.11954291,0.062825849,11.77938594,17.25525514,0.085871807,,
12.80674868,16.92175357,0.039842725,12.84205374,15.93044461,0.004064808,11.78749578,17.14500837,0.066619878,11.73488144,17.28228962,0.09138714,,
12.75836263,16.95452366,0.042965426,12.79353431,15.95919061,0.004342962,11.74296064,17.17005893,0.07057557,11.69054509,17.30845359,0.097061959,,
12.7101594,16.98601339,0.046196477,12.7451982,15.98672372,0.00462721,11.69859377,17.196053,0.074928745,11.64637626,17.33602857,0.103424644,,
12.66213829,17.02204974,0.050193236,12.6970447,16.01008191,0.004882895,11.65439452,17.22026992,0.079225572,11.60237429,17.3622739,0.109867529,,
12.61429861,17.05861236,0.054601908,12.64907314,16.03516553,0.005173221,11.61036227,17.24634,0.084127011,11.55853858,17.3890175,0.116845761,,
12.56663968,17.09299966,0.059101039,12.60128282,16.06240615,0.005508097,11.56649637,17.27062774,0.088965824,11.51486849,17.41763941,0.124805829,,
12.51916081,17.12926297,0.064247826,12.55367306,16.08969303,0.005865277,11.52279621,17.29677406,0.094486447,11.47136338,17.44446829,0.132758933,,
12.47186132,17.16469793,0.069709729,12.50624318,16.11660128,0.006240175,11.47926116,17.32113283,0.099937455,11.42802265,17.47456383,0.142285057,,
12.42474054,17.20156696,0.075886133,12.4589925,16.14440595,0.006652753,11.43589059,17.3473556,0.106157593,11.38484567,17.49917298,0.150580398,,
12.37779779,17.23851518,0.082624842,12.41192034,16.17183214,0.007086432,11.39268387,17.3717856,0.112300338,11.34183181,17.52427889,0.159541751,,
12.33103239,17.27372063,0.089601668,12.36502603,16.19631497,0.007497396,11.34964041,17.39762628,0.119185039,11.29898047,17.55173487,0.169953585,,
12.28444368,17.31036735,0.097490616,12.31830889,16.2199794,0.007917259,11.30675956,17.42258651,0.126235634,11.25629103,17.5773797,0.180291462,,
12.238031,17.34343267,0.105203001,12.27176825,16.24410676,0.008369552,11.26404073,17.44850275,0.133997968,11.21376287,17.60584738,0.192505366,,
12.19179367,17.3706053,0.11199555,12.22540345,16.26827,0.008848415,11.2214833,17.47353597,0.141948703,11.1713954,17.63296616,0.204909279,,
12.14573103,17.39690298,0.118986705,12.17921383,16.29246919,0.009355449,11.17908665,17.50091244,0.151184721,11.129188,17.66012672,0.218133406,,
12.09984242,17.42369992,0.126559683,12.13319872,16.31627411,0.009882563,11.13685019,17.52463442,0.159672411,11.08714006,17.68872841,0.232982807,,
12.05412719,17.45053814,0.134627443,12.08735746,16.34097561,0.010460949,11.0947733,17.54977687,0.169189079,11.04525099,17.71597486,0.248067758,,
12.00858468,17.47695682,0.14307122,12.0416894,16.3648514,0.011052152,11.05285539,17.57495538,0.179287842,11.02246915,17.70299243,0.240761973,,
11.96321423,17.50387707,0.152220286,11.99619388,16.38919426,0.011689333,11.01867674,17.59112424,0.18608857,,,,,
11.9180152,17.53037651,0.16179756,11.95087025,16.41140934,0.012302824,,,,,,,,
11.87298694,17.55784204,0.172360401,11.90571786,16.44189034,0.013197322,,,,,,,,
11.82812881,17.58395947,0.183043763,11.86073606,16.46851902,0.014031836,,,,,,,,
11.78344016,17.61150895,0.195031344,11.81592422,16.49736587,0.014995513,,,,,,,,
